,precision,recall,f1-score,support
N,0.9932,0.9168,0.9535,18118.0
S,0.4173,0.8345,0.5564,556.0
V,0.8921,0.9247,0.9081,1448.0
F,0.167,0.9136,0.2824,162.0
Q,0.9478,0.9832,0.9652,1608.0
accuracy,0.9201,0.9201,0.9201,0.9201
macro avg,0.6835,0.9146,0.7331,21892.0
weighted avg,0.9624,0.9201,0.9363,21892.0
