,precision,recall,f1-score,support
N,0.9943,0.9419,0.9674,18118.0
S,0.3793,0.8903,0.532,556.0
V,0.9127,0.9316,0.9221,1448.0
F,0.5182,0.8765,0.6514,162.0
Q,0.9485,0.9857,0.9668,1608.0
accuracy,0.9427,0.9427,0.9427,0.9427
macro avg,0.7506,0.9252,0.8079,21892.0
weighted avg,0.9664,0.9427,0.951,21892.0
