,precision,recall,f1-score,support
N,0.9929,0.875,0.9302,18118.0
S,0.2608,0.8453,0.3986,556.0
V,0.7858,0.9275,0.8508,1448.0
F,0.2379,0.9074,0.3769,162.0
Q,0.8841,0.9869,0.9327,1608.0
accuracy,0.8862,0.8862,0.8862,0.8862
macro avg,0.6323,0.9084,0.6979,21892.0
weighted avg,0.947,0.8862,0.9076,21892.0
