,precision,recall,f1-score,support
N,0.9949,0.9569,0.9755,18118.0
S,0.491,0.8813,0.6306,556.0
V,0.91,0.9496,0.9294,1448.0
F,0.4965,0.8765,0.6339,162.0
Q,0.9539,0.9913,0.9722,1608.0
accuracy,0.9564,0.9564,0.9564,0.9564
macro avg,0.7693,0.9311,0.8283,21892.0
weighted avg,0.9698,0.9564,0.9609,21892.0
