,precision,recall,f1-score,support
N,0.9949,0.9367,0.9649,18118.0
S,0.4618,0.8795,0.6056,556.0
V,0.8925,0.9461,0.9185,1448.0
F,0.2556,0.9136,0.3995,162.0
Q,0.9596,0.9907,0.9749,1608.0
accuracy,0.9397,0.9397,0.9397,0.9397
macro avg,0.7129,0.9333,0.7727,21892.0
weighted avg,0.9665,0.9397,0.9493,21892.0
