,precision,recall,f1-score,support
N,0.9806,0.8855,0.9307,18118.0
S,0.2925,0.7086,0.4141,556.0
V,0.6466,0.8591,0.7378,1448.0
F,0.2848,0.8457,0.4261,162.0
Q,0.8516,0.9422,0.8946,1608.0
accuracy,0.8832,0.8832,0.8832,0.8832
macro avg,0.6112,0.8482,0.6807,21892.0
weighted avg,0.9264,0.8832,0.8984,21892.0
