,precision,recall,f1-score,support
N,0.994,0.8803,0.9337,18118.0
S,0.2445,0.8543,0.3802,556.0
V,0.8703,0.9268,0.8977,1448.0
F,0.2339,0.9198,0.373,162.0
Q,0.924,0.9907,0.9562,1608.0
accuracy,0.8911,0.8911,0.8911,0.8911
macro avg,0.6533,0.9144,0.7081,21892.0
weighted avg,0.956,0.8911,0.9147,21892.0
