,precision,recall,f1-score,support
N,0.9934,0.9177,0.954,18118.0
S,0.3725,0.8543,0.5188,556.0
V,0.8956,0.924,0.9096,1448.0
F,0.2085,0.9136,0.3394,162.0
Q,0.9487,0.9882,0.968,1608.0
accuracy,0.9217,0.9217,0.9217,0.9217
macro avg,0.6837,0.9196,0.738,21892.0
weighted avg,0.962,0.9217,0.9365,21892.0
