,precision,recall,f1-score,support
N,0.9932,0.9296,0.9604,18118.0
S,0.445,0.8579,0.586,556.0
V,0.8889,0.9337,0.9107,1448.0
F,0.2114,0.9136,0.3434,162.0
Q,0.9653,0.9851,0.9751,1608.0
accuracy,0.932,0.932,0.932,0.932
macro avg,0.7008,0.924,0.7551,21892.0
weighted avg,0.9646,0.932,0.9441,21892.0
