,precision,recall,f1-score,support
N,0.9912,0.9305,0.9599,18118.0
S,0.3441,0.8076,0.4825,556.0
V,0.8943,0.9171,0.9056,1448.0
F,0.3395,0.9074,0.4941,162.0
Q,0.9543,0.9863,0.97,1608.0
accuracy,0.9304,0.9304,0.9304,0.9304
macro avg,0.7047,0.9098,0.7624,21892.0
weighted avg,0.9609,0.9304,0.9415,21892.0
